Segmento,Segmento 1,Nome_Fantasia,Tel 1 ,Tel 2 ,Tel 3,Tel 4 ,Tel 5 ,Tel 6,E-mail ,Contato ,Rua ,Bairro ,Municipio ,UF ,CEP,ROTERIZAÇÃO ,Finalização ,__PowerAppsId__
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Info Green Comércio de Equipamentos de Informática Ltda."," (21) 2532-3524",,,,,,,,"Av. Rio Branco, 156 - 238"," Centro","RIO DE JANEIRO"," RJ","20010-000","-22.906647164402465, -43.17712686065787",,"mzlSlBzh6jA"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Tecno Print Soluções em Impressão"," (21) 3529-1080",,,,,,,,"Av. Rio Branco, 156 - Galeria 241 - stand 4"," Centro","RIO DE JANEIRO"," RJ","20040-003","-22.90685825391057, -43.17762456037718",,"vFiGX-4hHi8"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Kasa do Komputador Comércio de Informática"," (21) 2253-8539",,,,,,,," Av. Rio Branco, 156 - 334","Centro","RIO DE JANEIRO"," RJ","20040-003","-22.90686883022036, -43.177761616481085",,"UhPydd97hsQ"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Aqui Tem Informática","(21) 2025-1640",,,,,,,," Av. Rio Branco, 156 - LOJA 231","Centro","RIO DE JANEIRO"," RJ","20040-003","-22.906779781878225, -43.17779057784686",,"rxIpyIS1Vho"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","DML INFORMÁTICA LTDA ME","(21) 99172-4544",,,,,,,,"R. Riachuelo, 101 - Box 2","Centro","RIO DE JANEIRO"," RJ","20230-010","-22.91354087073598, -43.18390059312518",,"8RRlvYlHeo4"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Tll Informatica e Eletrônicas"," (21) 3178-3190",,,,,,,,"Stand 09, Av. Rio Branco, 156 - 223 ","Centro","RIO DE JANEIRO"," RJ","20040-003","-22.90669773157169, -43.17742689162146",,"RWxvwYZeJiM"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Ams Cartuchos e Toners"," (31) 99792-1067",,,,,,,,"Av. Rio Branco, 156 - 224","Centro","RIO DE JANEIRO"," RJ","20040-003","-22.90679378190179, -43.177572745316546",,"k8JrmYU6kPg"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Global Tecnologia - Desenvolvimento de Sistemas","(21) 2292-4529",,,,,,,,"Av. Mal. Câmara, 160","Centro","RIO DE JANEIRO"," RJ","20020-080","-22.909087920611796, -43.169109647163985",,"2Cw3YPS3z8Y"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Lscit Tecnologia e Consultoria"," (21) 99204-4045",,,,,,,,"Av. Pres. Wilson, 228 - Pav 13","Centro","RIO DE JANEIRO"," RJ"," 20030-021","-22.910327305346435, -43.172193172304226",,"Xd6-aiB0b2k"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","3JH Gestão & Tecnologia"," (21) 3563-5106",,,,,,,,"Av. Pres. Wilson, 231 - 9° andar ","Centro","RIO DE JANEIRO"," RJ","20030-021","-22.909926009619635, -43.17262601648102",,"7BHppzl3n7Y"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Prill Tecnologia","(21) 4063-6449",,,,,,,," R. do Passeio, 38","Centro","RIO DE JANEIRO"," RJ","20031-120","-22.911963573136223, -43.1767370704567",,"XXNdwVeAWnQ"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Onix TI","(21) 3923-5770",,,,,,,,"Av. 13 de Maio, Nº 23 Salas 1804 e 1805","Centro","RIO DE JANEIRO"," RJ","20031-007","-22.909042368242005, -43.17732797415171",,"OtXpk0RaIJY"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","innolevels","(21) 3197-2025",,,,,,,,"Av. Rio Branco, 181 - 1401/1402","Centro","RIO DE JANEIRO"," RJ"," 20040-007","-22.907023234133618, -43.17657154716402",,"MyAwkN1SjIo"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Mg2 Tecnologia","21993170274",,,,,,,,"R. Carmo, 165 ","Vila Leopoldina","DUQUE DE CAXIAS"," RJ","25035-140","-22.762743180086353, -43.306613692375684",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","AMS Informática - Grupo AMS Tecnologia","21992024214",,,,,,"http://www.grupoams.com.br",,"R. Rodrigo Otávio ","Vila São Luis","DUQUE DE CAXIAS"," RJ","25085-010","-22.777130180866248, -43.294818816484444",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Point Gamer","2127826993",,,,,,,,"Av. Dr. Manoel Teles, 113 "," Centro","DUQUE DE CAXIAS"," RJ"," 25010-090","-22.78957648593793, -43.31131604531935",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Micro & Etc - SPKR Serviços e Consultoria de Informática","2131774151",,,,,,,,"Av. Pres. Vargas, 242 - sala 703","Jardim Vinte e Cinco de Agosto","DUQUE DE CAXIAS"," RJ","25070-330","-22.78958551603586, -43.30844681648403",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","WTIC Solutions","21994268557",,,,,,,,"R. Barbosa Rodrigues, 64","Parque Duque","DUQUE DE CAXIAS"," RJ","25085-040","-22.875587199655907, -43.32246800298806",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","MVA TECNOLOGIA DA INFORMAÇÃO","2135899940",,,,,,,,"R. Juliana, 585 - LJ A - Santo Elias, Mesquita - RJ, ","Santo Elias","MESQUITA"," RJ","26560-541","-22.770960677083284, -43.4231245164844",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Support Fast Ti - Tecnologia da informação","21982363419",,,,,,,,"Estr. Mirandela, 1340","Centro","NILÓPOLIS"," RJ"," 26520-099","-22.81293496230395, -43.42755352997728",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","BELLGED SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO","2126522969",,,,,,,,"R. Ana Porto, 11","Parque Sr. do Bonfim","DUQUE DE CAXIAS"," RJ","25025-110","-22.786472097795887, -43.31860508949632",,
"TURISMO","TURISMO","Exatatur Turismo","021967274416",,,,,,,,"R. Padre Anchieta, 41 - Casa 3 ","São Domingos","NITERÓI"," RJ"," 24210-050","-22.898007883568912, -43.12251180113988",,
"TURISMO","TURISMO","CVC","021964846823",,,,,,,,"R. Mal. Deodoro, 360 - Loja 108","Centro","NITERÓI","RJ","24030-060","-22.88628252560858, -43.11354818185027",,
"TURISMO","TURISMO","Guiando Sua Viagem","021976140260",,,,,,,,"Rua Mem de Sá, 117","Icaraí","NITERÓI","RJ","24220-260","-22.90106904029758, -43.1095278342791",,
"TURISMO","TURISMO","New Gênesis Operadora de Viagens","02127057644",,,,,,,,"Edifício Galery Center Rua da conceição 154 - Cobertura, Sala 1207","Centro","NITERÓI","RJ","24020-084","-22.893781900850463, -43.11947970460231",,
"TURISMO","TURISMO","LH Turismo e Viagens","021992984849",,,,,,"https://www.lhturismoeviagens.com.br/",,"R. da Conceição, 125 - sala 709","Centro","NITERÓI","RJ","24020-085","-22.89314515427407, -43.12032525979015",,
"TURISMO","TURISMO","Clube de Viagens","02126132990",,,,,,"https://clubedeviagens.com.br/",,"Rua Quinze de Novembro, 118/303","Centro","NITERÓI","RJ","24020-125","-22.896070711670106, -43.12139814339014",,
"TURISMO","TURISMO","Sabine Tour","02127101446",,,,,,"http://www.sabinetour.com.br/",,"Trade Center - R. Ator Paulo Gustavo, 26 - loja 125","Icaraí","NITERÓI","RJ","24230-060","-22.903028540658127, -43.114875011102235",,
"TURISMO","TURISMO","4 Cantos Câmbio e Turismo","02127226869",,,,,,,,"R. Otávio Carneiro, 143 - Loja 101","Icaraí","NITERÓI","RJ","24230-190","-22.90484700530835, -43.108738116910345",,
"TURISMO","TURISMO","Contactur Viagens","02127107401",,,,,,"http://www.contactur.com.br/",,"R. Ator Paulo Gustavo, 229 - sala 1516","Icaraí","NITERÓI","RJ","24230-052","-22.905993416142383, -43.110197238606325",,
"TURISMO","TURISMO","TANIA MARA TURISMO","021964294592",,,,,,,,"R. Lúcio Tomé Feteira, 738","Vila Lage","SÃO GONÇALO","RJ","24415-000","-22.84205748379853, -43.08551233510163",,
"TURISMO","TURISMO","CVC Zé Garoto","02135830339",,,,,,,,"R. Cel. Moreira César, 135","Centro","SÃO GONÇALO","RJ","24440-400","-22.824279014369917, -43.05276989991418",,
"TURISMO","TURISMO","CVC Partage Shopping São Gonçalo","02138403636",,,,,,,,"Av. Pres. Kennedy, 426 - Loja 120","Centro","SÃO GONÇALO","RJ","24445-000","-22.821633377899385, -43.04598688637052",,
"TURISMO","TURISMO","Colonial Turismo","02127129056",,,,,,,,"R. Dr. Felíciano Sodré, 91","Centro","SÃO GONÇALO","RJ","24440-440","-22.824408711320554, -43.049559352640394",,
"TURISMO","TURISMO","Adaltur Viagens","02127122923",,,,,,,,"R. Afonso Gomes Dutra, 10","Boaçu","SÃO GONÇALO","RJ","24465-240","-22.816229328707077, -43.05254171893075",,
"TURISMO","TURISMO","CVC Loja Alcantara","021984738461",,,,,,,,"Av. Jorn. Roberto Marinho, 221 - Loja 221","Mutondo","SÃO GONÇALO","RJ","24451-045","-22.824219681471202, -43.01554869226236",,
"TURISMO","TURISMO","CVC","021973372241",,,,,,,,"R. Maria Soares Sendas, 111 - Loja 280","Parque Barreto","SÃO JOÃO DE MERITI","RJ","25575-825","-22.791019067517695, -43.34963609800364",,
"TURISMO","TURISMO","Rio Tour Vip Receptivo","021998141754",,,,,,,,"R. Pastor Joaquim Rosa, 515 - loja B RJ, 25555-681","Jardim Meriti","SÃO JOÃO DE MERITI","RJ","25555-681","-22.77625374802018, -43.370375486859636",,
"TURISMO","TURISMO","CB Tour Viagens e Turismo","021980970406",,,,,,,,"Av. Dep. Ulisses Guimarães","Vila São João","SÃO JOÃO DE MERITI","RJ","25570-393","-22.768111681633652, -43.35183222921358",,
"TECNOLOGIA DA INFORMAÇÃO","TECNOLOGIA DA INFORMAÇÃO","New Sector","(21) 3350-4937",,,,,,,,"R. Dagmar da Fonseca, 26 - Loja 108","Madureira","RIO DE JANEIRO","RJ","21351-040","-22.87400995675287, -43.33793590114045",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Tijuca informática","(21) 99456-4494",,,,,,,,"R. Marquês de Valença, 46 / 502 ","Tijuca","RIO DE JANEIRO","RJ","20550-030","-22.92330193147401, -43.22575306418864",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","SuporteInfo ","(21) 4103-5555",,,,,,,,"Edifício Central Tijuca - Rua Conde de Bonfim, 232 - Sala 6106=-'8","Tijuca","RIO DE JANEIRO","RJ","20520-054","-22.923190320163076, -43.22921514716353",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Fast Fix Informática Tijuca","(21) 99522-3242",,,,,,,,"- R. Almirante Cochrane, 257 - Box 200","Tijuca","RIO DE JANEIRO","RJ","20550-040","-22.922395163265676, -43.23101308949293",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","InfoClick","(21) 98027-8079",,,,,,,,"Shopping Marapuama, R. Gen. Roca, 913 - Sala 710","Tijuca","RIO DE JANEIRO","RJ","20521-070","-22.8833729096321, -43.241699684423274",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","JD Informática","(21) 2613-6541",,,,,,,,"Av. Ernani do Amaral Peixoto, 436 - Loja 07","Centro","Niterói","RJ","24020-077","-22.893517827066045, -43.11917881832896",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Computer & Co","(21) 2717-0786",,,,,,,,"Rua Quinze de Novembro, 8 - loja 110","Centro","Niterói","RJ","24025-970","-22.893383858352365, -43.12531863615234",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Grupo Conexao","(21) 2613-0561",,,,,,,,"Av. Ernani do Amaral Peixoto, 370 - Loja 12","Centro","Niterói","RJ","24020-071","-22.886711131112893, -43.12257223662765",,
"TURISMO","TURISMO","Dominitur Turismo","(21) 3456-1236",,,,,,,,"R. Manuel Marquês, 23","Madureira","RIO DE JANEIRO","RJ","21351-140","-22.868938505570338, -43.342726529976005",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Goo Tech"," (21) 9768-66046",,,,,,,,"Rua José Clemente 47","Centro","Niterói ","RJ","24020-102","-22.89445226304519, -43.12264420483504",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Mega Informática","(21) 96409-6080",,,,,,,,"R. José Clemente, 43-'8","Centro","Niterói","RJ","24020-102","-22.89191817247385, -43.123428138576564",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","EM Informática",,,"(21) 97042-2191",,,,,,"Av. Ernani do Amaral Peixoto, 436 - stand 04 ","Centro","Niterói","RJ","24020-077","-22.88985464451776, -43.11913665001027",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","J C informática","(21) 98405-0961",,,,,,,,"R. José Clemente, 43","Centro","Niterói","RJ","24020-102","-22.882198285717116, -43.12326757309418",,
" TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","MGC Informática","(21) 97914-1094",,,,,,,,"R. Gavião Peixoto, 117 - Stand 05","Icaraí","Niterói","RJ","24230-091","-22.9026609410508, -43.110704718328854",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Info Icaraí","(21) 97045-0227",,,,,,,,"R. Gavião Peixoto, 117","Icaraí","Niterói","RJ","24230-091","-22.90265105799733, -43.11064034531669",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Info.com","(21) 3587-5908",,,,,,,,"R. Pres. Pedreira, 157","Ingá","Niterói","RJ","24210-470","-22.9034463741812, -43.123330731822584",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Infocenter","(21) 3619-9020",,,,,,,,"R. Lopes Trovão, 134 - loja 131","Icaraí","Niterói","RJ","24020-071","-22.903762374796123, -43.109887544339685",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","TecnitInfo","(21) 3628-5708",,,,,,,,"R. Lopes Trovão, 469","Santa Rosa","Niterói","RJ","24220-070","-22.898880952254878, -43.10372454716416",,
"TURISMO","TURISMO","Elanes Tour","(21) 97556-6806",,,,,,,,"R. Carolina Machado, 542","Madureira","RIO DE JANEIRO","RJ","21351-021","-22.874075626693234, -43.33988153653447",,
"TURISMO","TURISMO","CVC Madureira Shopping","(21) 99948-6149",,,,,,,,"Estr. do Portela, 222 - 2o andar - , Rio de Janeiro - RJ, 21351-051","Madureira","RIO DE JANEIRO","RJ","21360-200","-22.870048249546528, -43.34145874716485",,
"TURISMO","TURISMO","Ponte de Lima Viagens e Turismo","(21) 2450-2720",,,,,,,,"Av. Min. Edgard Romero, 244","Madureira","RIO DE JANEIRO","RJ","21360-200","-22.87097185122637, -43.335490662506366",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Tech One Informática","(21) 98034-2431",,,,,,,,"R. Noronha Torrezão, 108 - , Niterói - RJ, 24240-185","Santa Rosa","Niterói","RJ","24240-185","-22.897106050467475, -43.101121072304416",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","TECNOLUZ","(21) 2714-9870",,,,,,,,"R. Noronha Torrezão, 10 - Loja B ","Santa Rosa","Niterói","RJ","24240-185","-22.80463633105121, -43.14713324743074",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","TecnitInfo","(21) 3628-5708",,,,,,,,"R. Lopes Trovão, 469","Santa Rosa","Niterói","RJ","24220-070","-22.898999552145536, -43.103638716481285",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","NitInfo Soluções em T.I","(21) 98168-2299",,,,,,,,"R. Dr. Miguel Viêira Ferreira, 85 - casa - , Niterói - RJ,","Icaraí","Niterói","RJ","24220-410","-22.907797066245752, -43.10496788764583",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Nitval Assistência Técnica","(21) 98791-3528",,,,,,,,"R. Luiz Leopoldo Fernandes Pinheiro, 555 - salas 301/302","Centro","Niterói","RJ","24030-127","-22.89405848090491, -43.11958373367037",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","DR. NOTEBOOK SOLUÇÕES EM INFORMÁTICA","(21) 4126-3146",,,,,,,,"RUA LUIZ LEOPOLDO FERNANDES PINHEIRO Nª 576","Centro","Niterói","RJ","24030-123","-22.893943811390635, -43.11963827418058",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Nitlab - Assistência Técnica de Notebook","(21) 98619-7339",,,,,,,,"Av. Ernani do Amaral Peixoto, 436 - loja 13 - , Niterói - RJ,","Centro","Niterói","RJ","24020-077","-22.893727539863008, -43.11922954481857",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","BR Notes - Manutenção de Notebooks","(21) 2613-2635",,,,,,,,"R. José Clemente, 94 - Sala 1205","Centro","Niterói","RJ","24020-105","-22.89497021449318, -43.12155599134111",,
"TURISMO","TURISMO","Tour Delas","(21) 99319-2689",,,,,,,,"R. Domingos Lopes, 761 - ap. 401","Madureira","RIO DE JANEIRO","RJ","21310-120","-22.87314593286531, -43.33886069747761",,
"TURISMO","TURISMO","Fvv Madureira Viagens","(21) 97227-4377",,,,,,,,"R. Francisco Batista -","Madureira","RIO DE JANEIRO","RJ","21351-000","-22.876635206740104, -43.33574864716478",,
"Turismo","TURISMO","Riomar Câmbio e Turismo","(21) 3359-0934",,,,,,,,"Shopping POLO I - 1º Piso - Estrada do Portela, 99 - loja 178 ","Madureira","RIO DE JANEIRO","RJ","21351-050","-22.872719421375674, -43.338984062506306",,
"TECNOLOGIA DA INFORMAÇÃO","TECNOLOGIA DA INFORMAÇÃO","VTR INFORMÁTICA","021975727370",,,,,,,,"R. Getúlio Vargas - Vila Visc","Vila Visc","Itaboraí","RJ","24875-055","-22.732795443839468, -42.82519760080895",,
"TECNOLOGIA DA INFORMAÇÃO","TECNOLOGIA DA INFORMAÇÃO","INFOMAC","021995079654",,,,,,,,"Av. Vinte e Dois de Maio, 7887 ","Venda das Pedras,"," Itaboraí","RJ","24804-706","-22.73453702107835, -42.83772888125673",,
"TECNOLOGIA DA INFORMAÇÃO","TECNOLOGIA DA INFORMAÇÃO","PCMundi - Assistência Técnica","02141140768",,,,,,,,"Rua Aída Carvalho Novaes, 2 - Qd 4 "," Nancilândia"," Itaboraí","RJ","24801-112","-22.738020109010527, -42.8459686273046",,
"TECNOLOGIA DA INFORMAÇÃO","TECNOLOGIA DA INFORMAÇÃO","Cádmios Informática","021988921846",,,,,,,,"Rua Manoel da Silva Leite, Lt 535, casa 03","Joaquim de Oliveira","Itaboraí","RJ","24813-520","-22.743117615353384, -42.88656950011383",,
"TECNOLOGIA DA INFORMAÇÃO","TECNOLOGIA DA INFORMAÇÃO","Gama Tecnologia e Arte","021984320107",,,,,,,,"R. Leonel da Costa Cardoso, 60 - Loja 2 ","Outeiro das Pedras"," Itaboraí","RJ","24812-356","-22.748455670158325, -42.878780367137786",,
"TI","TECNOLOGIA DA INFORMAÇÃO","Ccr Tecnologia","(21) 4063-8907",,,,,,,,"Av. Cel. João Valério, 438 - sobrado ","Centro","Magé","RJ","25900-097","-22.65740093044392, -43.04378369239255",,
"TI","TECNOLOGIA DA INFORMAÇÃO","Technosan - Tecnologia e Sustentabilidade","(21) 96412-1971",,,,,,,,"Praça Dr. Nilo Peçanha, 137 - Sala 305 ","Centro","Magé","RJ","25900-088","-22.65570955860884, -43.03843251648735",,
"Ortopédicos ","SAÚDE","Ortóptica Norat","2634-2359",,,,,,,,"R. Pereira Neves, 289 ","Centro","Maricá","RJ","24900-660","-22.906830132734225, -42.814605402206126",,
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Gambit Informática","(21) 99798-9287",,,,,,,,"R. da Conceição, 136 ","Centro","Niterói","RJ","24020-085","-22.89443351210421, -43.12039056065821",,
"TI","TECNOLOGIA DA INFORMAÇÃO","Maclam Tecnologia em Climatização","(21) 2242-6871",,,,,,,,"R. da Maçonaria, 785 ","Figueira","Magé","RJ","25926-544","-22.701048795619972, -43.157508228805405",,
"TURISMO ","TURISMO","Climber Adventure","(21) 97127-7710",,,,,,,,"R. Compositor Silas de Oliveira, 15 ","Madureira","Rio de Janeiro ","RJ","21360-340","-22.863204038473977, -43.3319600029884",,
"TI","TECNOLOGIA DA INFORMAÇÃO","Mundo Digital","(21) 98739-1969",,,,,,,,"R. Brasil, 306 ","Piabetá","Magé","RJ","25931-778","-20.828487771830584, -43.26315866796891",,
"TI","TECNOLOGIA DA INFORMAÇÃO","Haztec","(21) 2633-9200",,,,,,,,"Estrada Municipal Adam Blumer, 5942","Jardim Esmeralda","Magé","RJ","25900-001","-22.602339337171166, -43.034463931830075",,
"Ortopédicos","SAÚDE","Espaço Ortopedia","(21) 3491-8256",,,,,,,,"R. Conde de Porto Alegre, 477 - Sala 111","Jardim Vinte e Cinco de Agosto","Duque de Caxias "," RJ","25070-350","-22.785162944896676, -43.307946987648705",,
"Ortopédica ","SAÚDE","Dinâmica Ortopedia Técnica - Próteses e Órteses","(21) 97587-3720",,,,,,,,"R. Pereira Neves, 172 ","Centro ","Maricá","RJ","24900-660","-22.921613370056104, -42.81689213182223",,
"TI","TECNOLOGIA DA INFORMAÇÃO","  Need Technology","(21) 3030-1214",,,,,,,,"Rua Quinze de Novembro, 90 - loja 17","Centro ","Niterói ","RJ"," 24020-125","-22.896222613676077, -43.122083958810705",,
"TI","TECNOLOGIA DA INFORMAÇÃO","RG INFORMÁTICA","(21) 2633-1877",,,,,,,,"Praça Dr. Nilo Peçanha ","Vila Esperanca","Magé","RJ","25903-587","-22.643388022976982, -43.045232588254486",,
"Ortopédicos","SAÚDE","Sorpel","(21) 2671-1737",,,,,,,,"Rua Marechal Floriano, 685","Jardim Vinte e Cinco de Agosto"," Duque de Caxias","RJ","25075-025","-22.792691918040763, -43.30264455881324",,
,"TECNOLOGIA DA INFORMAÇÃO","IBRISA INFORMATICA","(21) 98775-8170",,,,,,,,"Av. Ernani do Amaral Peixoto, 370 - SL.506 ","Centro","Niterói","RJ","24020-070","-22.893709164296816, -43.119502663067024",,
"TI","TECNOLOGIA DA INFORMAÇÃO","ParaisoTech","(21) 2633-0058",,,,,,,,"001, Av. Simão da Motta, 578 - Sala 103 25900 - ,  - RJ, 25903-587","Centro","Magé","RJ","25903-587","-22.65876297270487, -43.03661304535078",,
"TURISMO ","TURISMO","F Alves Tour e Eventos","(21) 98030-3791",,,,,,,,"Condomínio do Edifício São José - R. Oliva Maia, 66","Madureira","Rio de Janeiro","RJ","21370-030","-22.87318311829056, -43.33478469931324",,
